epoch_ms,http_code,total_s,connect_s,ttfb_s
1786421982815,200,0.071,0.000,0.071
1786421983815,200,0.075,0.000,0.075
1786421984815,200,0.372,0.000,0.372
1786421985815,200,0.276,0.000,0.276
1786421986815,200,0.285,0.000,0.285
1786421987815,200,0.101,0.000,0.101
1786421988815,200,0.253,0.000,0.253
1786421989815,200,0.281,0.000,0.281
1786421990815,200,0.197,0.000,0.197
1786421991816,200,0.195,0.000,0.195
1786421992816,200,0.203,0.000,0.203
1786421993816,200,0.114,0.000,0.114
1786421994816,200,0.128,0.000,0.128
1786421995816,200,0.180,0.000,0.179
1786421996816,200,0.200,0.000,0.200
1786421997816,200,0.105,0.000,0.105
1786421998816,200,0.100,0.000,0.100
1786421999816,200,0.013,0.000,0.013
1786422000817,200,0.007,0.000,0.007
1786422001817,200,0.008,0.000,0.008
1786422002817,200,0.032,0.000,0.032
1786422003817,200,0.334,0.000,0.334
1786422004817,200,0.243,0.000,0.243
1786422005817,200,0.252,0.000,0.252
1786422006817,200,0.251,0.000,0.251
1786422007817,200,0.176,0.000,0.176
1786422008817,200,0.184,0.000,0.184
1786422009818,200,0.104,0.000,0.103
