wall_ts,http_status,elapsed_s,error,in_window
1786568851.158,200,0.0535,,1
1786568852.212,200,0.0056,,1
1786568853.218,200,0.1532,,1
1786568854.371,200,0.0066,,1
1786568855.378,200,0.0052,,1
1786568856.383,200,0.0058,,1
1786568857.389,200,0.1860,,1
1786568858.575,200,0.0062,,1
1786568859.581,200,0.0480,,1
1786568860.629,200,0.1437,,1
1786568861.773,200,0.0059,,1
1786568862.779,200,0.0064,,1
1786568863.786,200,0.0068,,1
1786568864.793,200,0.0343,,1
1786568865.827,200,0.0052,,1
1786568866.832,200,0.7658,,1
1786568868.598,200,0.0293,,1
1786568869.628,200,0.0447,,1
1786568870.673,200,0.4058,,1
1786568872.078,200,0.0061,,1
1786568873.085,200,0.8612,,1
1786568874.946,200,0.0061,,1
1786568875.952,200,0.0059,,1
1786568876.958,200,0.0078,,1
1786568877.966,200,0.1196,,1
1786568879.086,200,0.0059,,1
1786568880.092,200,0.0061,,1
1786568881.098,200,0.6876,,1
1786568882.786,200,0.0181,,1
1786568883.804,200,0.0230,,1
1786568884.827,200,0.4590,,1
1786568886.286,200,0.0057,,1
1786568887.292,200,0.0063,,1
1786568888.298,200,0.6456,,1
1786568889.944,200,0.0068,,1
1786568890.951,200,0.0076,,1
1786568891.959,200,0.6618,,1
1786568893.621,200,0.0578,,1
1786568894.678,200,0.0052,,1
1786568895.684,200,0.6549,,1
1786568897.339,200,0.0064,,1
