epoch,worker,http_code,time_total_s,evidence_status,evidence_asof
1784887093,2,200,1.060896,ready,2026-07-22
1784887093,1,200,1.057076,ready,2026-07-22
1784887093,5,200,1.089722,ready,2026-07-22
1784887093,3,200,1.076168,ready,2026-07-22
1784887093,6,200,1.124109,ready,2026-07-22
1784887093,4,200,1.106326,ready,2026-07-22
1784887094,2,200,1.131420,ready,2026-07-22
1784887094,1,200,1.142835,ready,2026-07-22
1784887094,5,200,1.098884,ready,2026-07-22
1784887094,3,200,1.096994,ready,2026-07-22
1784887094,4,200,1.097044,ready,2026-07-22
1784887094,6,200,1.119930,ready,2026-07-22
1784887095,2,200,1.112177,ready,2026-07-22
1784887095,1,200,1.100805,ready,2026-07-22
1784887095,3,200,1.088512,ready,2026-07-22
1784887095,5,200,1.112700,ready,2026-07-22
1784887095,4,200,1.099452,ready,2026-07-22
1784887095,6,200,1.089542,ready,2026-07-22
1784887096,3,200,1.041819,ready,2026-07-22
1784887096,5,200,1.078145,ready,2026-07-22
1784887096,2,200,1.123476,ready,2026-07-22
1784887096,1,200,1.122662,ready,2026-07-22
1784887096,4,200,1.113864,ready,2026-07-22
1784887096,6,200,1.120667,ready,2026-07-22
1784887097,5,200,1.079997,ready,2026-07-22
1784887097,2,200,1.083330,ready,2026-07-22
1784887097,3,200,1.143919,ready,2026-07-22
1784887097,4,200,1.059497,ready,2026-07-22
1784887097,1,200,1.099717,ready,2026-07-22
1784887097,6,200,1.065872,ready,2026-07-22
1784887098,2,200,1.040738,ready,2026-07-22
1784887098,3,200,1.061162,ready,2026-07-22
1784887098,5,200,1.078039,ready,2026-07-22
1784887098,4,200,1.066866,ready,2026-07-22
1784887098,6,200,1.054081,ready,2026-07-22
1784887098,1,200,1.079489,ready,2026-07-22
1784887099,3,200,1.056050,ready,2026-07-22
1784887100,2,200,1.143977,ready,2026-07-22
1784887100,6,200,1.089676,ready,2026-07-22
1784887100,5,200,1.121905,ready,2026-07-22
1784887100,1,200,1.099713,ready,2026-07-22
1784887100,4,200,1.135934,ready,2026-07-22
1784887101,3,200,1.093008,ready,2026-07-22
1784887101,2,200,1.030746,ready,2026-07-22
1784887101,1,200,1.015868,ready,2026-07-22
1784887101,5,200,1.051962,ready,2026-07-22
1784887101,6,200,1.073713,ready,2026-07-22
1784887101,4,200,1.039382,ready,2026-07-22
1784887102,3,200,1.077463,ready,2026-07-22
1784887102,4,200,1.052691,ready,2026-07-22
1784887102,2,200,1.100496,ready,2026-07-22
1784887102,6,200,1.068209,ready,2026-07-22
1784887102,1,200,1.107201,ready,2026-07-22
1784887102,5,200,1.099729,ready,2026-07-22
1784887103,3,200,1.121891,ready,2026-07-22
1784887103,2,200,1.110928,ready,2026-07-22
1784887103,4,200,1.128142,ready,2026-07-22
1784887103,6,200,1.126954,ready,2026-07-22
1784887103,5,200,1.119074,ready,2026-07-22
1784887103,1,200,1.127718,ready,2026-07-22
1784887104,2,200,1.109492,ready,2026-07-22
1784887104,6,200,1.092262,ready,2026-07-22
1784887104,3,200,1.147920,ready,2026-07-22
1784887104,4,200,1.127343,ready,2026-07-22
1784887104,1,200,1.113355,ready,2026-07-22
1784887104,5,200,1.126142,ready,2026-07-22
1784887105,6,200,1.100274,ready,2026-07-22
1784887105,2,200,1.123613,ready,2026-07-22
1784887105,3,200,1.114043,ready,2026-07-22
1784887105,1,200,1.153420,ready,2026-07-22
1784887105,5,200,1.161501,ready,2026-07-22
1784887105,4,200,1.181280,ready,2026-07-22
1784887106,2,200,1.090619,ready,2026-07-22
1784887106,3,200,1.094085,ready,2026-07-22
1784887106,6,200,1.134575,ready,2026-07-22
1784887106,1,200,1.057107,ready,2026-07-22
1784887106,4,200,1.055447,ready,2026-07-22
1784887106,5,200,1.065177,ready,2026-07-22
1784887107,6,200,1.027409,ready,2026-07-22
1784887107,2,200,1.083640,ready,2026-07-22
1784887107,3,200,1.077075,ready,2026-07-22
1784887107,1,200,1.059901,ready,2026-07-22
1784887107,4,200,1.060761,ready,2026-07-22
1784887107,5,200,1.061525,ready,2026-07-22
1784887109,6,200,1.095490,ready,2026-07-22
1784887109,2,200,1.091996,ready,2026-07-22
1784887109,4,200,1.074036,ready,2026-07-22
1784887109,3,200,1.106496,ready,2026-07-22
1784887109,5,200,1.087039,ready,2026-07-22
1784887109,1,200,1.110123,ready,2026-07-22
1784887110,6,200,1.094119,ready,2026-07-22
1784887110,2,200,1.074292,ready,2026-07-22
1784887110,4,200,1.081079,ready,2026-07-22
1784887110,3,200,1.082024,ready,2026-07-22
1784887110,5,200,1.084969,ready,2026-07-22
1784887110,1,200,1.090413,ready,2026-07-22
1784887111,2,200,1.097817,ready,2026-07-22
1784887111,3,200,1.117727,ready,2026-07-22
1784887111,6,200,1.171332,ready,2026-07-22
1784887111,4,200,1.151905,ready,2026-07-22
1784887111,1,200,1.136282,ready,2026-07-22
1784887111,5,200,1.167003,ready,2026-07-22
1784887112,4,200,1.024588,ready,2026-07-22
1784887112,2,200,1.119659,ready,2026-07-22
1784887112,6,200,1.059297,ready,2026-07-22
1784887112,3,200,1.095954,ready,2026-07-22
1784887112,1,200,1.068968,ready,2026-07-22
1784887112,5,200,1.051099,ready,2026-07-22
1784887113,2,200,1.075126,ready,2026-07-22
1784887113,3,200,1.053617,ready,2026-07-22
1784887113,1,200,1.097305,ready,2026-07-22
1784887113,6,200,1.143661,ready,2026-07-22
1784887113,4,200,1.172024,ready,2026-07-22
1784887113,5,200,1.146055,ready,2026-07-22
1784887114,3,200,1.091160,ready,2026-07-22
1784887114,2,200,1.112055,ready,2026-07-22
1784887114,1,200,1.066393,ready,2026-07-22
1784887114,6,200,1.068872,ready,2026-07-22
1784887114,4,200,1.076870,ready,2026-07-22
1784887114,5,200,1.055955,ready,2026-07-22
1784887115,2,200,1.054432,ready,2026-07-22
1784887115,6,200,1.030787,ready,2026-07-22
1784887115,3,200,1.097182,ready,2026-07-22
1784887115,5,200,1.050835,ready,2026-07-22
1784887115,1,200,1.085569,ready,2026-07-22
1784887115,4,200,1.076731,ready,2026-07-22
1784887116,2,200,1.108738,ready,2026-07-22
1784887116,3,200,1.097411,ready,2026-07-22
1784887116,6,200,1.121751,ready,2026-07-22
1784887116,5,200,1.109000,ready,2026-07-22
1784887116,4,200,1.108011,ready,2026-07-22
1784887116,1,200,1.117608,ready,2026-07-22
1784887117,6,200,1.047176,ready,2026-07-22
1784887117,3,200,1.053155,ready,2026-07-22
1784887118,2,200,1.085241,ready,2026-07-22
1784887118,1,200,1.043645,ready,2026-07-22
1784887118,4,200,1.052808,ready,2026-07-22
1784887118,5,200,1.079501,ready,2026-07-22
1784887119,6,200,1.073304,ready,2026-07-22
1784887119,3,200,1.128451,ready,2026-07-22
1784887119,2,200,1.113621,ready,2026-07-22
1784887119,4,200,1.105293,ready,2026-07-22
1784887119,1,200,1.126192,ready,2026-07-22
1784887119,5,200,1.116027,ready,2026-07-22
1784887120,6,200,1.148909,ready,2026-07-22
1784887120,4,200,1.082259,ready,2026-07-22
1784887120,2,200,1.109575,ready,2026-07-22
1784887120,1,200,1.093361,ready,2026-07-22
1784887120,3,200,1.135292,ready,2026-07-22
1784887120,5,200,1.106414,ready,2026-07-22
1784887121,2,200,1.051774,ready,2026-07-22
1784887121,6,200,1.079665,ready,2026-07-22
1784887121,4,200,1.088533,ready,2026-07-22
1784887121,1,200,1.076572,ready,2026-07-22
1784887121,3,200,1.074217,ready,2026-07-22
1784887121,5,200,1.077265,ready,2026-07-22
1784887122,6,200,1.071173,ready,2026-07-22
1784887122,3,200,1.053087,ready,2026-07-22
1784887122,2,200,1.102908,ready,2026-07-22
1784887122,1,200,1.080029,ready,2026-07-22
1784887122,4,200,1.103706,ready,2026-07-22
1784887122,5,200,1.082249,ready,2026-07-22
1784887123,6,200,1.045087,ready,2026-07-22
1784887123,2,200,1.037287,ready,2026-07-22
1784887123,3,200,1.067415,ready,2026-07-22
1784887123,1,200,1.053413,ready,2026-07-22
1784887123,4,200,1.057035,ready,2026-07-22
1784887123,5,200,1.051731,ready,2026-07-22
1784887124,2,200,1.110154,ready,2026-07-22
1784887124,3,200,1.090768,ready,2026-07-22
1784887124,6,200,1.187513,ready,2026-07-22
1784887124,5,200,1.127558,ready,2026-07-22
1784887124,1,200,1.158194,ready,2026-07-22
1784887124,4,200,1.157062,ready,2026-07-22
1784887125,2,200,1.096296,ready,2026-07-22
1784887125,3,200,1.102866,ready,2026-07-22
1784887125,6,200,1.057911,ready,2026-07-22
1784887125,1,200,1.053033,ready,2026-07-22
1784887125,5,200,1.072368,ready,2026-07-22
1784887125,4,200,1.067805,ready,2026-07-22
1784887126,2,200,1.109189,ready,2026-07-22
1784887126,3,200,1.110828,ready,2026-07-22
1784887127,6,200,1.102764,ready,2026-07-22
1784887127,1,200,1.114045,ready,2026-07-22
1784887127,5,200,1.105868,ready,2026-07-22
1784887127,4,200,1.099829,ready,2026-07-22
1784887128,3,200,1.081914,ready,2026-07-22
1784887128,2,200,1.087295,ready,2026-07-22
1784887128,4,200,1.104642,ready,2026-07-22
1784887128,5,200,1.114551,ready,2026-07-22
1784887128,6,200,1.145175,ready,2026-07-22
1784887128,1,200,1.156843,ready,2026-07-22
1784887129,2,200,1.091697,ready,2026-07-22
1784887129,4,200,1.045883,ready,2026-07-22
1784887129,3,200,1.126685,ready,2026-07-22
1784887129,1,200,1.022716,ready,2026-07-22
1784887129,6,200,1.068986,ready,2026-07-22
1784887129,5,200,1.093543,ready,2026-07-22
1784887130,2,200,1.082363,ready,2026-07-22
1784887130,3,200,1.059022,ready,2026-07-22
1784887130,4,200,1.074487,ready,2026-07-22
1784887130,1,200,1.063456,ready,2026-07-22
1784887130,6,200,1.066043,ready,2026-07-22
1784887130,5,200,1.058288,ready,2026-07-22
1784887131,3,200,1.111584,ready,2026-07-22
1784887131,4,200,1.110952,ready,2026-07-22
1784887131,2,200,1.139649,ready,2026-07-22
1784887131,1,200,1.130485,ready,2026-07-22
1784887131,5,200,1.120423,ready,2026-07-22
1784887131,6,200,1.137107,ready,2026-07-22
1784887132,2,200,1.047714,ready,2026-07-22
